,card_name,card_price,weeks_in_market,$20_prizes,$25_prizes,$30_prizes,$40_prizes,$50_prizes,$70_prizes,$75_prizes,$100_prizes,$150_prizes,$200_prizes,$250_prizes,$300_prizes,$350_prizes,$400_prizes,$500_prizes,$1000_prizes,$3000_prizes,$5000_prizes,$7000_prizes,$10000_prizes,$17777_prizes,$20000_prizes,$25000_prizes,$50000_prizes,$77777_prizes,$100000_prizes,$600000_prizes,$1000000_prizes,$1200000_prizes,$1777777_prizes,$3000000_prizes,$7200000_prizes
0,DIAMOND CROSSWORD 10X,25,86,,166400.0,77962.0,,118562,,15722.0,39086,,6642,781.0,,,,3275,632,,,,2.0,,,,,,2.0,,1.0,,,,
1,"1,000,000 CASH CELEBRATION!",30,12,,,407563.0,406449.0,406362,,,237074,,19317,,,,7664.0,11822,706,,21.0,,,,16.0,,,,3.0,19.0,,,,,
2,MILLION $ MATCH,30,34,,,492836.0,,391568,,,105091,,17203,,10040.0,,8579.0,8319,1323,,52.0,,,,15.0,,,,3.0,,,,,3.0,
3,$5 MILLION RICHES,30,52,,,203237.0,200798.0,200606,,,93424,,7424,,,,3755.0,5828,1825,,38.0,,,,8.0,,,,1.0,,,,,2.0,
4,PLATINUM DIAMOND SPECTACULAR,30,73,,,,332866.0,197385,,,130675,,4902,,,,,4450,1669,,,,47.0,,,,11.0,,,,,4.0,,,
5,ULTIMATE MILLIONS,30,158,,,74955.0,40728.0,13387,,,13468,2689.0,1574,797.0,662.0,,787.0,820,428,,,,6.0,,,,,,2.0,,,,,0.0,
6,"$1,000,000 MERRY MULTIPLIER",20,8,140798.0,70308.0,34064.0,34615.0,34538,,,43760,,4016,1031.0,,,,1293,334,,28.0,,,,9.0,,,,,1.0,,,,,
7,MILLION DOLLAR MEGA MULTIPLIER,20,21,253307.0,,,188428.0,62967,,,80187,,8241,,,,,3891,629,,,,11.0,,,,,,1.0,2.0,,,,,
8,"$2,000,000 EXTREME CASH",20,30,445404.0,111268.0,,219904.0,105574,,,126588,,18655,2999.0,,,,7570,896,,,,20.0,,8.0,,,,3.0,,,2.0,,,
9,"$2,000,000 BANKROLL",20,39,110747.0,28303.0,,53010.0,26638,,,31094,,4505,,,,,2074,258,,,,2.0,,2.0,,,,0.0,,,1.0,,,
10,WIN BIG,20,43,258604.0,73599.0,,162832.0,72474,,,108014,,15138,1781.0,,,,864,438,,,,,,5.0,,,,1.0,,,2.0,,,
11,100X THE CASH,20,48,251403.0,63181.0,,123532.0,61280,,,77124,,10126,,,,,5015,521,,8.0,,,,,5.0,,,2.0,,,2.0,,,
12,"$2,000,000 JACKPOT",20,69,328687.0,82064.0,,160951.0,80609,,,95677,,13986,2233.0,,,,6299,653,,,,15.0,,6.0,,,,3.0,,,1.0,,,
13,20 YEARS OF CASH,20,92,839945.0,,332596.0,,359564,,,165033,,5188,,,,,4559,862,,,,,,52.0,,,,,,,,,,1.0
14,PAY ME!,20,121,160159.0,80514.0,39276.0,38641.0,38913,,,32115,,6802,,,,1634.0,282,369,49.0,,27.0,,,13.0,,,,5.0,,2.0,,,,
15,LUCKY 7 DELUXE,20,142,38606.0,18877.0,9500.0,8028.0,8191,3918.0,,4677,,1153,,,104.0,,332,84,,15.0,4.0,,3.0,,,,0.0,,,,,1.0,,
